Timestamp(ms),Current(uA)
42112.02,370.493
42112.03,372.282
42112.04,370.940
42112.05,372.282
42112.06,376.310
42112.07,378.100
42112.08,378.995
42112.09,381.682
42112.1,381.682
42112.11,381.682
42112.12,382.577
42112.13,381.234
42112.14,383.025
42112.15,384.368
42112.16,387.056
42112.17,392.432
42112.18,393.328
42112.19,391.536
42112.2,390.639
42112.21,390.639
42112.22,388.399
42112.23,389.743
42112.24,391.536
42112.25,391.984
42112.26,391.536
42112.27,392.432
42112.28,391.536
42112.29,392.432
42112.3,394.224
42112.31,393.776
42112.32,393.776
42112.33,393.776
42112.34,392.880
42112.35,392.432
42112.36,394.224
42112.37,394.672
42112.38,396.914
42112.39,396.914
42112.4,398.258
42112.41,397.810
42112.42,396.017
42112.43,394.672
42112.44,397.810
42112.45,394.224
42112.46,392.432
42112.47,388.847
42112.48,390.639
42112.49,388.847
42112.5,387.951
42112.51,387.056
42112.52,384.368
42112.53,381.234
42112.54,381.682
42112.55,380.786
42112.56,378.100
42112.57,378.100
42112.58,376.757
42112.59,377.205
42112.6,377.205
42112.61,376.310
42112.62,374.967
42112.63,373.177
42112.64,372.282
42112.65,374.072
42112.66,372.730
42112.67,372.730
42112.68,367.809
42112.69,368.256
42112.7,366.914
42112.71,368.256
42112.72,366.914
42112.73,366.467
42112.74,367.361
42112.75,365.572
42112.76,363.336
42112.77,363.336
42112.78,364.678
42112.79,366.467
42112.8,361.548
42112.81,361.995
42112.82,365.125
42112.83,367.809
42112.84,365.125
42112.85,362.442
42112.86,365.125
42112.87,366.020
42112.88,369.598
42112.89,369.598
42112.9,367.361
42112.91,367.361
42112.92,369.598
42112.93,369.598
42112.94,368.703
42112.95,366.914
42112.96,366.914
42112.97,368.256
42112.98,371.835
42112.99,375.415
42113,379.891
42113.01,377.652
42113.02,375.862
42113.03,375.415
42113.04,374.072
42113.05,377.652
42113.06,378.995
42113.07,381.682
42113.08,383.920
42113.09,387.951
42113.1,389.743
42113.11,391.536
42113.12,393.776
42113.13,397.362
42113.14,400.500
42113.15,404.087
42113.16,406.330
42113.17,412.163
42113.18,413.509
42113.19,413.509
42113.2,415.753
42113.21,414.856
42113.22,417.549
42113.23,422.039
42113.24,426.531
42113.25,425.632
42113.26,424.285
42113.27,423.386
42113.28,425.183
42113.29,426.980
42113.3,426.081
42113.31,422.488
42113.32,422.488
42113.33,418.896
42113.34,415.304
42113.35,411.714
42113.36,409.470
42113.37,407.676
42113.38,405.882
42113.39,405.882
42113.4,401.845
42113.41,397.362
42113.42,393.328
