Timestamp(ms),Current(uA)
38344.91,403.191
38344.92,402.294
38344.93,403.639
38344.94,402.742
38344.95,403.639
38344.96,401.845
38344.97,401.397
38344.98,401.845
38344.99,401.845
38345,401.845
38345.01,401.845
38345.02,399.155
38345.03,398.707
38345.04,396.914
38345.05,393.328
38345.06,391.536
38345.07,388.847
38345.08,386.608
38345.09,385.264
38345.1,380.338
38345.11,380.338
38345.12,380.338
38345.13,379.443
38345.14,380.338
38345.15,378.548
38345.16,376.757
38345.17,376.757
38345.18,373.625
38345.19,375.415
38345.2,374.520
38345.21,374.520
38345.22,372.730
38345.23,374.967
38345.24,371.387
38345.25,371.387
38345.26,370.940
38345.27,370.493
38345.28,369.598
38345.29,368.256
38345.3,371.387
38345.31,374.520
38345.32,377.205
38345.33,374.072
38345.34,372.282
38345.35,371.835
38345.36,371.387
38345.37,371.387
38345.38,372.282
38345.39,374.520
38345.4,374.072
38345.41,372.282
38345.42,372.730
38345.43,373.625
38345.44,376.757
38345.45,383.025
38345.46,386.160
38345.47,387.951
38345.48,385.264
38345.49,387.056
38345.5,385.264
38345.51,386.160
38345.52,387.056
38345.53,387.951
38345.54,388.399
38345.55,387.056
38345.56,385.264
38345.57,385.264
38345.58,387.056
38345.59,388.399
38345.6,390.639
38345.61,391.536
38345.62,389.743
38345.63,389.743
38345.64,389.295
38345.65,391.984
38345.66,391.984
38345.67,391.536
38345.68,387.951
38345.69,390.639
38345.7,390.191
38345.71,386.608
38345.72,386.608
38345.73,385.264
38345.74,383.920
38345.75,382.577
38345.76,384.368
38345.77,382.577
38345.78,383.920
38345.79,380.786
38345.8,378.995
38345.81,374.967
38345.82,371.835
38345.83,372.282
38345.84,371.835
38345.85,370.045
38345.86,371.835
38345.87,370.493
38345.88,368.703
38345.89,366.467
38345.9,364.231
38345.91,362.889
38345.92,362.889
38345.93,361.548
38345.94,363.336
38345.95,362.442
38345.96,360.654
38345.97,359.313
38345.98,357.972
38345.99,357.525
38346,357.525
38346.01,356.631
38346.02,356.184
38346.03,354.844
38346.04,356.631
38346.05,356.631
38346.06,357.525
38346.07,356.631
38346.08,356.184
38346.09,357.525
38346.1,359.760
38346.11,363.784
38346.12,363.784
38346.13,364.231
38346.14,366.467
38346.15,368.703
38346.16,369.598
38346.17,367.361
38346.18,369.598
38346.19,374.072
38346.2,376.310
38346.21,378.100
38346.22,379.891
38346.23,385.264
38346.24,387.951
38346.25,391.536
38346.26,392.432
38346.27,391.536
38346.28,391.984
38346.29,391.087
38346.3,390.191
38346.31,391.536
38346.32,392.432
38346.33,392.432
38346.34,395.121
38346.35,395.569
38346.36,400.052
38346.37,402.294
38346.38,403.639
38346.39,404.984
38346.4,405.882
38346.41,407.227
38346.42,409.470
38346.43,408.125
38346.44,404.984
38346.45,400.500
38346.46,397.362
38346.47,395.569
38346.48,392.880
38346.49,393.328
38346.5,394.672
38346.51,395.569
38346.52,395.569
38346.53,394.224
38346.54,391.984
38346.55,387.951
38346.56,386.608
38346.57,386.608
38346.58,386.608
38346.59,383.025
38346.6,383.473
38346.61,379.443
38346.62,376.757
38346.63,375.415
38346.64,375.415
38346.65,375.415
38346.66,373.177
38346.67,370.045
38346.68,367.361
38346.69,365.572
38346.7,361.995
38346.71,361.548
38346.72,364.678
38346.73,364.678
38346.74,366.914
38346.75,364.231
38346.76,363.784
38346.77,361.101
38346.78,358.866
38346.79,359.313
38346.8,360.207
38346.81,360.654
38346.82,361.548
38346.83,360.654
38346.84,360.654
38346.85,360.654
38346.86,361.101
38346.87,361.548
38346.88,361.101
38346.89,361.101
38346.9,359.760
38346.91,363.336
38346.92,362.442
38346.93,362.442
38346.94,362.889
38346.95,362.442
38346.96,363.336
38346.97,363.336
38346.98,365.572
38346.99,369.150
38347,369.598
38347.01,372.730
38347.02,373.625
38347.03,374.072
38347.04,375.415
38347.05,377.205
38347.06,379.891
38347.07,378.100
38347.08,378.100
38347.09,376.757
38347.1,378.995
38347.11,376.757
38347.12,378.100
38347.13,373.625
38347.14,374.072
38347.15,374.967
38347.16,378.548
38347.17,376.757
38347.18,376.757
38347.19,378.100
38347.2,379.891
38347.21,380.338
38347.22,380.786
38347.23,381.682
38347.24,383.473
38347.25,385.712
38347.26,387.056
38347.27,388.847
38347.28,389.743
38347.29,391.984
38347.3,398.258
38347.31,400.052
38347.32,400.500
38347.33,402.742
38347.34,403.191
38347.35,403.191
38347.36,402.742
38347.37,400.500
38347.38,401.397
38347.39,404.087
38347.4,407.227
38347.41,410.817
38347.42,411.714
38347.43,413.060
38347.44,411.714
38347.45,412.163
38347.46,407.676
38347.47,406.330
38347.48,406.330
38347.49,407.676
38347.5,404.984
38347.51,403.639
38347.52,403.191
38347.53,401.397
38347.54,399.603
38347.55,398.707
38347.56,397.362
38347.57,394.672
38347.58,392.880
38347.59,390.639
38347.6,391.087
38347.61,387.056
38347.62,384.816
38347.63,383.473
38347.64,381.682
38347.65,380.786
38347.66,378.995
38347.67,377.652
38347.68,378.100
38347.69,376.757
38347.7,376.310
38347.71,373.625
38347.72,372.282
38347.73,369.150
38347.74,366.467
38347.75,361.548
38347.76,361.995
38347.77,358.866
38347.78,361.548
38347.79,363.336
38347.8,364.678
38347.81,363.784
38347.82,362.889
38347.83,363.336
38347.84,366.020
38347.85,367.361
38347.86,366.020
38347.87,365.125
38347.88,365.125
38347.89,367.361
38347.9,370.493
38347.91,370.940
38347.92,372.730
38347.93,372.730
38347.94,369.150
38347.95,370.045
38347.96,368.256
38347.97,366.467
38347.98,367.809
38347.99,371.387
38348,372.282
38348.01,372.282
38348.02,375.415
38348.03,378.995
38348.04,381.682
38348.05,380.786
38348.06,378.995
38348.07,377.205
38348.08,377.205
38348.09,376.310
38348.1,374.967
38348.11,373.625
38348.12,372.730
38348.13,374.520
38348.14,376.310
38348.15,377.205
38348.16,372.730
38348.17,370.493
38348.18,369.150
38348.19,366.020
38348.2,366.020
38348.21,370.045
38348.22,374.072
38348.23,375.862
38348.24,376.757
38348.25,375.415
38348.26,375.415
38348.27,375.862
38348.28,375.862
38348.29,375.862
38348.3,378.100
38348.31,381.234
38348.32,384.816
38348.33,385.264
38348.34,386.160
38348.35,384.816
38348.36,383.025
38348.37,383.473
38348.38,383.025
38348.39,387.056
38348.4,392.880
38348.41,394.224
38348.42,391.536
38348.43,390.639
